time_s,power_MW,power_pct,P_electric_MW,T_fuel_C,T_in_C,T_out_C,T_cool_avg_C,P_prim_MPa,P_sec_MPa,D_steam_kg_s,D_turb_kg_s,W_prim_kg_s,level_pzr_m,level_sg_m,reactivity_total_pcm,reactivity_doppler_pcm,reactivity_coolant_pcm,reactivity_rods_pcm
38.70,3237.57,101.17,1201.98,604.69,299.51,329.86,314.69,16.357,7.097,1797.74,1797.74,17600.0,6.331,2.400,-0.23,-12.21,-44.99,56.97
38.75,3237.57,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.74,1797.74,17600.0,6.331,2.400,-0.23,-12.21,-44.99,56.97
38.80,3237.57,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.23,-12.20,-44.99,56.97
38.85,3237.56,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.22,-12.20,-44.99,56.97
38.90,3237.56,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.22,-12.20,-44.99,56.97
38.95,3237.56,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.22,-12.20,-44.99,56.97
39.00,3237.55,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.22,-12.20,-44.99,56.97
39.05,3237.55,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.21,-12.19,-44.99,56.97
39.10,3237.55,101.17,1201.97,604.69,299.51,329.86,314.69,16.357,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.21,-12.19,-44.99,56.97
39.15,3237.55,101.17,1201.97,604.69,299.51,329.86,314.69,16.356,7.097,1797.73,1797.74,17600.0,6.331,2.400,-0.21,-12.19,-44.99,56.97
39.20,3237.54,101.17,1201.97,604.69,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.21,-12.19,-44.99,56.97
39.25,3237.54,101.17,1201.97,604.69,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.21,-12.19,-44.99,56.97
39.30,3237.54,101.17,1201.97,604.69,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.20,-12.19,-44.99,56.97
39.35,3237.54,101.17,1201.97,604.69,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.20,-12.18,-44.99,56.97
39.40,3237.53,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.20,-12.18,-44.99,56.97
39.45,3237.53,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.73,1797.73,17600.0,6.331,2.400,-0.20,-12.18,-44.99,56.97
39.50,3237.53,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.19,-12.18,-44.99,56.97
39.55,3237.53,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.19,-12.18,-44.99,56.97
39.60,3237.53,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.19,-12.18,-44.99,56.97
39.65,3237.52,101.17,1201.97,604.68,299.51,329.86,314.69,16.356,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.19,-12.17,-44.98,56.97
39.70,3237.52,101.17,1201.97,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.19,-12.17,-44.98,56.97
39.75,3237.52,101.17,1201.97,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.18,-12.17,-44.98,56.97
39.80,3237.52,101.17,1201.97,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.18,-12.17,-44.98,56.97
39.85,3237.52,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.18,-12.17,-44.98,56.97
39.90,3237.52,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.73,17600.0,6.331,2.400,-0.18,-12.17,-44.98,56.97
39.95,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.72,17600.0,6.331,2.400,-0.17,-12.16,-44.98,56.97
40.00,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.72,17600.0,6.331,2.400,-0.17,-12.16,-44.98,56.97
40.05,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.72,17600.0,6.331,2.400,-0.17,-12.16,-44.98,56.97
40.10,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.72,17600.0,6.331,2.400,-0.17,-12.16,-44.98,56.97
40.15,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.72,1797.72,17600.0,6.331,2.400,-0.17,-12.16,-44.98,56.97
40.20,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.16,-12.16,-44.98,56.97
40.25,3237.51,101.17,1201.96,604.68,299.51,329.86,314.69,16.355,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.16,-12.16,-44.98,56.97
40.30,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.16,-12.16,-44.98,56.97
40.35,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.16,-12.15,-44.97,56.97
40.40,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.16,-12.15,-44.97,56.97
40.45,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.15,-12.15,-44.97,56.97
40.50,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.15,-12.15,-44.97,56.97
40.55,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.15,-12.15,-44.97,56.97
40.60,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.72,17600.0,6.331,2.400,-0.15,-12.15,-44.97,56.97
40.65,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.71,17600.0,6.331,2.400,-0.15,-12.15,-44.97,56.97
40.70,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.71,17600.0,6.331,2.400,-0.14,-12.15,-44.97,56.97
40.75,3237.50,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.71,17600.0,6.331,2.400,-0.14,-12.14,-44.97,56.97
40.80,3237.49,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.71,17600.0,6.332,2.400,-0.14,-12.14,-44.97,56.97
40.85,3237.49,101.17,1201.96,604.67,299.51,329.86,314.68,16.354,7.097,1797.71,1797.71,17600.0,6.332,2.400,-0.14,-12.14,-44.97,56.97
40.90,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.354,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.14,-12.14,-44.97,56.97
40.95,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.354,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.00,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.05,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.10,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.15,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.20,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.13,-12.14,-44.96,56.97
41.25,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.12,-12.13,-44.96,56.97
41.30,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.71,17600.0,6.332,2.400,-0.12,-12.13,-44.96,56.97
41.35,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.70,17600.0,6.332,2.400,-0.12,-12.13,-44.96,56.97
41.40,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.70,17600.0,6.332,2.400,-0.12,-12.13,-44.96,56.97
41.45,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.70,17600.0,6.332,2.400,-0.12,-12.13,-44.96,56.97
41.50,3237.49,101.17,1201.95,604.67,299.51,329.86,314.68,16.353,7.097,1797.70,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.96,56.97
41.55,3237.49,101.17,1201.95,604.66,299.51,329.86,314.68,16.353,7.097,1797.70,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.95,56.97
41.60,3237.49,101.17,1201.95,604.66,299.51,329.86,314.68,16.353,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.95,56.97
41.65,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.353,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.95,56.97
41.70,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.353,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.95,56.97
41.75,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.353,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.11,-12.13,-44.95,56.97
41.80,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.353,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.10,-12.13,-44.95,56.97
41.85,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.352,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.10,-12.13,-44.95,56.97
41.90,3237.49,101.17,1201.95,604.66,299.51,329.85,314.68,16.352,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.10,-12.12,-44.95,56.97
41.95,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.10,-12.12,-44.95,56.97
42.00,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.097,1797.69,1797.70,17600.0,6.332,2.400,-0.10,-12.12,-44.95,56.97
42.05,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.10,-12.12,-44.94,56.97
42.10,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.15,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.20,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.25,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.30,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.69,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.35,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.40,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.09,-12.12,-44.94,56.97
42.45,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.12,-44.94,56.97
42.50,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.12,-44.94,56.97
42.55,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.12,-44.93,56.97
42.60,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.12,-44.93,56.97
42.65,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.12,-44.93,56.97
42.70,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.69,17600.0,6.332,2.400,-0.08,-12.11,-44.93,56.97
42.75,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
42.80,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
42.85,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.352,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
42.90,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.351,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
42.95,3237.49,101.17,1201.94,604.66,299.51,329.85,314.68,16.351,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
43.00,3237.49,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.68,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.93,56.97
43.05,3237.49,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.07,-12.11,-44.92,56.97
43.10,3237.49,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.15,3237.49,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.20,3237.49,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.25,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.30,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.35,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.40,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.06,-12.11,-44.92,56.97
43.45,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.68,17600.0,6.332,2.400,-0.05,-12.11,-44.92,56.97
43.50,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.92,56.97
43.55,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.60,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.65,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.70,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.75,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.80,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.67,1797.67,17600.0,6.332,2.400,-0.05,-12.11,-44.91,56.97
43.85,3237.50,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.91,56.97
43.90,3237.51,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.91,56.97
43.95,3237.51,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.91,56.97
44.00,3237.51,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.91,56.97
44.05,3237.51,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.90,56.97
44.10,3237.51,101.17,1201.93,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.90,56.97
44.15,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.11,-44.90,56.97
44.20,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.67,17600.0,6.332,2.400,-0.04,-12.10,-44.90,56.97
44.25,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.30,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.35,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.351,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.40,3237.51,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.45,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.50,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.90,56.97
44.55,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.89,56.97
44.60,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.66,1797.66,17600.0,6.332,2.400,-0.03,-12.10,-44.89,56.97
44.65,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.332,2.400,-0.02,-12.10,-44.89,56.97
44.70,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.332,2.400,-0.02,-12.10,-44.89,56.97
44.75,3237.52,101.17,1201.92,604.66,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
44.80,3237.52,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
44.85,3237.52,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
44.90,3237.52,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
44.95,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
45.00,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.66,17600.0,6.331,2.400,-0.02,-12.10,-44.89,56.97
45.05,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.02,-12.10,-44.88,56.97
45.10,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.02,-12.10,-44.88,56.97
45.15,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.20,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.25,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.30,3237.53,101.17,1201.92,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.35,3237.53,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.40,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.45,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.65,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.50,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.88,56.97
45.55,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.01,-12.10,-44.87,56.97
45.60,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.00,-12.10,-44.87,56.97
45.65,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.00,-12.10,-44.87,56.97
45.70,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.00,-12.10,-44.87,56.97
45.75,3237.54,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.00,-12.10,-44.87,56.97
45.80,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,-0.00,-12.10,-44.87,56.97
45.85,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,0.00,-12.10,-44.87,56.97
45.90,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.65,17600.0,6.331,2.400,0.00,-12.10,-44.87,56.97
45.95,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.00,-12.10,-44.87,56.97
46.00,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.00,-12.10,-44.87,56.97
46.05,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.00,-12.10,-44.86,56.97
46.10,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.00,-12.10,-44.86,56.97
46.15,3237.55,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.20,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.25,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.30,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.35,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.40,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.64,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.45,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.50,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.55,3237.56,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.86,56.97
46.60,3237.57,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.85,56.97
46.65,3237.57,101.17,1201.91,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.01,-12.10,-44.85,56.97
46.70,3237.57,101.17,1201.90,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
46.75,3237.57,101.17,1201.90,604.65,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
46.80,3237.57,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.64,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
46.85,3237.57,101.17,1201.90,604.66,299.51,329.85,314.68,16.350,7.096,1797.63,1797.63,17600.0,6.331,2.400,0.02,-12.10,-44.85,56.97
